District,Total,Revenue Circlewise,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability
Kamrup,95,"(North Ghy | 57), (Kayan | 38)",32,42,21,0,0
Hailakandi,895,"(Algapur | 895), (Lala | 0), (Katlicherra | 0), (Hailakandi | 0)",370,280,245,0,0
Hailakandi,671,"(Algapur | 671), (Lala | 0), (Katlicherra | 0), (Hailakandi | 0)",260,225,185,1,0
Kamrup,95,"(Kamalpur | 0), (Kayan | 38), (North Ghy | 57)",32,42,21,0,0
Tamulpur,102,(Goreswar | 102),40,41,21,0,0
Chirang,153,(Bijni | 153),65,55,33,0,0
Bajali,475,(Sarupeta | 475),205,190,45,35,0
Nagaon,2806,"(Nagaon | 0), (Kampur | 1216), (Raha | 1590)",1169,962,599,73,3
Dima-Hasao,1374,(Haflong | 1374),492,537,299,45,1
Karimganj,2344,"(RK Nagar | 523), (Karimganj | 941), (Nilambazar | 368), (Badarpur | 512)",1030,728,586,0,0
Morigaon,573,"(Mikirbheta | 0), (Mayong | 0), (Bhuragaon | 0), (Morigaon | 573)",207,248,116,2,0
Cachar,82971,"(Lakhipur | 1550), (Silchar | 41197), (Sonai | 8982), (Katigorah | 31242)",30269,26674,26028,0,0
Dibrugarh,30,"(Naharkatia | 0), (Moran | 0), (Dibrugarh West | 0), (Dibrugarh East | 30)",15,10,5,0,0
Tamulpur,56,(Goreswar | 56),18,25,13,0,0
Morigaon,573,"(Mikirbheta | 0), (Mayong | 0), (Bhuragaon | 0), (Morigaon | 573)",207,248,116,2,0
Karimganj,1444,"(Nilambazar | 343), (Karimganj | 732), (Badarpur | 369), (Patherkandi | 0)",617,422,405,0,0
Nagaon,1591,"(Nagaon | 0), (Raha | 1591)",680,564,284,62,1
Hailakandi,353,"(Lala | 0), (Hailakandi | 0), (Katlicherra | 0), (Algapur | 353)",125,130,98,0,0
Dima-Hasao,1374,(Haflong | 1374),492,537,299,45,1
Bajali,355,(Sarupeta | 355),155,140,35,25,0
Chirang,153,(Bijni | 153),65,55,33,0,0
Cachar,69223,"(Sonai | 302), (Silchar | 37197), (Lakhipur | 482), (Katigorah | 31242)",25697,23353,20173,0,0
Kamrup,63,"(Kayan | 38), (North Ghy | 25)",25,23,15,0,0
Tamulpur,56,(Goreswar | 56),18,25,13,0,0
Morigaon,573,"(Mikirbheta | 0), (Mayong | 0), (Morigaon | 573), (Bhuragaon | 0)",207,248,116,2,0
Karimganj,1176,"(Nilambazar | 288), (Karimganj | 519), (Badarpur | 369)",503,359,314,0,0
Hailakandi,353,"(Lala | 0), (Katlicherra | 0), (Hailakandi | 0), (Algapur | 353)",135,120,98,0,0
Dima-Hasao,1366,(Haflong | 1366),489,535,296,45,1
Chirang,153,(Bijni | 153),65,55,33,0,0
Cachar,46201,"(Silchar | 41197), (Sonai | 0), (Lakhipur | 433), (Katigorah | 4571)",17163,15662,13376,0,0
Kamrup,38,"(North Ghy | 0), (Kayan | 38)",19,15,4,0,0
Bajali,251,"(Bajali | 0), (Sarupeta | 251)",114,90,44,3,0
Morigaon,815,"(Morigaon | 815), (Mayong | 0), (Mikirbheta | 0), (Bhuragaon | 0)",297,344,172,2,0
Tamulpur,56,(Goreswar | 56),18,25,13,0,0
Kamrup,38,(Kayan | 38),19,15,4,0,0
Chirang,153,(Bijni | 153),65,55,33,0,0
Cachar,36072,"(Silchar | 32197), (Sonai | 0), (Lakhipur | 433), (Katigorah | 3442)",12623,12292,11157,0,0
Dima-Hasao,1366,(Haflong | 1366),489,535,296,45,1
Bajali,251,(Sarupeta | 251),114,90,44,3,0
Tamulpur,56,(Goreswar | 56),18,25,13,0,0
Morigaon,815,"(Mayong | 0), (Morigaon | 815), (Mikirbheta | 0)",297,344,172,2,0
Kamrup,38,(Kayan | 38),19,15,4,0,0
Chirang,153,(Bijni | 153),65,55,33,0,0
Cachar,18347,"(Udharbond | 0), (Silchar | 15443), (Katigorah | 2844), (Sonai | 0), (Lakhipur | 60)",7200,6174,4973,0,0
Dima-Hasao,1304,(Haflong | 1304),465,515,276,47,1
Bajali,251,(Sarupeta | 251),114,90,44,3,0
Cachar,17075,"(Silchar | 15443), (Lakhipur | 60), (Katigorah | 1572)",6777,5748,4550,0,0
Chirang,153,(Bijni | 153),65,55,33,0,0
Dima-Hasao,1138,(Haflong | 1138),409,464,236,28,1
Morigaon,815,"(Mikirbheta | 0), (Morigaon | 815)",297,344,172,2,0
Tamulpur,56,(Goreswar | 56),18,25,13,0,0
Cachar,15117,"(Katigorah | 1572), (Lakhipur | 60), (Silchar | 13485)",6714,5670,2733,0,0
Chirang,153,(Bijni | 153),65,55,33,0,0
Dima-Hasao,1104,(Haflong | 1104),395,446,234,28,1
Morigaon,640,(Morigaon | 640),230,271,139,0,0
Morigaon,738,"(Bhuragaon | 0), (Morigaon | 738), (Mikirbheta | 0)",268,312,148,10,0
Chirang,153,(Bijni | 153),65,55,33,0,0
Dima-Hasao,1063,(Haflong | 1063),388,429,239,6,1
Cachar,8346,(Silchar | 8346),3432,3006,1908,0,0
Morigaon ,738,(Morigaon | 738) ,268,312,148,10,0
Dima-Hasao,1070,(Haflong | 1070),383,425,234,27,1
Chirang,153,(Bijni | 153),65,55,33,0,0
Cachar,8346,"(Silchar | 8346), (Katigorah | 0)",3432,3006,1908,0,0
Cachar,5246,"(Silchar | 5246), (Katigorah | 0)",2432,1606,1208,0,0
Dima-Hasao,327,(Haflong | 327),117,112,90,7,1
Morigaon,706,(Morigaon | 706),256,300,140,10,0
Dima-Hasao,291,(Haflong | 291),103,89,90,8,1
Cachar,2748,"(Silchar | 2748), (Katigorah | 0)",1032,998,718,0,0
Morigaon,676,(Morigaon | 676),248,290,130,8,0
Cachar,1022,"(Silchar | 1022), (Katigorah | 0)",451,366,205,0,0
Morigaon,676,(Morigaon | 676),248,290,130,8,0
Dima-Hasao,121,(Haflong | 121),43,38,39,1,0
Cachar,788,"(Katigorah | 0), (Silchar | 788)",390,240,158,0,0
Dima-Hasao,121,(Haflong | 121),43,38,39,1,0
Morigaon,626,(Morigaon | 626),238,275,108,5,0
Cachar,647,"(Silchar | 647), (Katigorah | 0)",289,220,138,0,0
Morigaon,606,"(Mikirbheta | 0), (Morigaon | 606)",228,270,103,5,0
Cachar,488,"(Silchar | 488), (Katigorah | 0)",211,188,89,0,0
Morigaon,596,(Morigaon | 596),225,265,101,5,0
Cachar,86,"(Silchar | 86), (Katigorah | 0)",35,33,18,0,0
Morigaon,570,(Morigaon | 570),215,255,95,5,0
Morigaon,542,(Morigaon | 542),210,245,85,2,0
Morigaon,537,(Morigaon | 537),210,240,85,2,0
Morigaon,278,(Morigaon | 278),117,97,64,0,0
Morigaon,143,(Morigaon | 143),60,38,45,0,0
Morigaon,118,(Morigaon | 118),50,35,33,0,0
Charaideo,74,"(Sapekhati | 0), (Sonari | 74)",52,19,3,0,0
Charaideo,75,(Sonari | 75),40,32,3,0,0
Morigaon,115,"(Mayong | 0), (Morigaon | 115)",50,35,30,0,0
Morigaon,76,(Morigaon | 76),27,28,21,0,0
Morigaon,76,(Morigaon | 76),27,28,21,0,0
Dhemaji,344,"(Gogamukh | 0), (Dhemaji | 344)",77,112,137,18,0
Lakhimpur,366,(Subansiri | 366),88,139,120,17,2
Dhemaji,447,"(Sissiborgaon | 0), (Dhemaji | 355), (Gogamukh | 92)",117,165,128,37,0
Chirang,241,"(Sidli | 0), (Bengtal | 0), (Bijni | 241)",94,89,58,0,0
Dhemaji,327,"(Gogamukh | 0), (Dhemaji | 327)",99,115,88,25,0
Udalguri,1250,"(Khairabari | 902), (Harisinga | 348)",548,561,139,2,0
Lakhimpur,38,(Subansiri | 38),12,13,13,0,0
Chirang,241,"(Bengtal | 0), (Bijni | 241)",94,89,58,0,0
Udalguri,1112,"(Udalguri | 0), (Khairabari | 764), (Harisinga | 348)",481,518,113,0,0
Dhemaji,176,"(Gogamukh | 0), (Dhemaji | 176)",65,72,30,9,0
Chirang,223,(Bijni | 223),92,81,50,0,0
Chirang,223,(Bijni | 223),92,81,50,0,0
Udalguri,1076,"(Khairabari | 727), (Harisinga | 349)",480,490,106,0,0
Udalguri,234,"(Khairabari | 96), (Harisinga | 138)",103,92,39,0,0
Udalguri,138,"(Khairabari | 0), (Harisinga | 138)",52,57,29,0,0
Udalguri,42,"(Harisinga | 42), (Khairabari | 0)",12,14,16,0,0
Udalguri,42,"(Khairabari | 0), (Harisinga | 42)",12,14,16,0,0
Udalguri,42,"(Khairabari | 0), (Harisinga | 42)",12,14,16,0,0
