District,Total,Revenue Circlewise,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability
Cachar,26998,"(Lakhipur | 0), (Udharbond | 0), (Sonai | 458), (Katigorah | 18459), (Silchar | 8081)",11105,9930,5959,2,2
Nagaon,4542,"(Nagaon | 1148), (Raha | 1591), (Kampur | 1803)",1947,1648,940,7,0
Morigaon,105,"(Mayong | 0), (Morigaon | 105)",47,38,20,0,0
Nagaon,3546,"(Nagaon | 712), (Raha | 1413), (Kampur | 1421)",1521,1259,761,5,0
Morigaon,105,"(Mayong | 0), (Morigaon | 105)",47,38,20,0,0
Cachar,21721,"(Lakhipur | 0), (Sonai | 268), (Silchar | 6388), (Katigorah | 15065)",8918,8054,4749,0,0
Cachar,600,"(Silchar | 600), (Katigorah | 0)",280,175,145,0,0
Morigaon,26,(Morigaon | 26),8,6,12,0,0
Cachar,600,"(Silchar | 600), (Katigorah | 0)",280,175,145,0,0
Cachar,530,"(Katigorah | 0), (Silchar | 530)",270,150,110,0,0
Cachar,530,"(Katigorah | 0), (Silchar | 530)",270,150,110,0,0
Kamrup (M),617,"(Sonapur | 0), (Guwahati | 67), (Dispur | 550)",377,157,83,0,0
Bajali,155,(Bajali | 155),71,52,32,0,0
Baksa,91,"(Jalah | 0), (Baska | 0), (Barama | 91)",37,44,10,0,0
Kamrup (M),677,"(Guwahati | 67), (Dispur | 610)",166,337,174,0,0
Kokrajhar,301,"(Dotma | 0), (Bagribari | 0), (Kokrajhar | 301)",101,131,69,0,0
Udalguri,348,"(Khairabari | 0), (Mazbat | 0), (Kalaigaon | 0), (Harisinga | 0), (Udalguri | 348)",162,113,73,0,0
Nalbari,3372,"(Banekuchi | 0), (Barkhetri | 0), (Barbhag | 0), (Tihu | 0), (Nalbari | 2498), (Ghograpar | 264), (Paschim Nalbari | 610)",1541,1101,722,7,1
Kamrup (M),697,"(Sonapur | 0), (Chandrapur | 0), (Guwahati | 77), (Dispur | 620)",241,371,85,0,0
Kamrup,4732,"(Kayan | 4332), (Kamalpur | 0), (Palashbari | 0), (Boko | 0), (Hajo | 0), (Rangia | 400)",2142,1543,1027,20,0
Hojai,43033,"(Lanka | 0), (Hojai | 43033), (Doboka | 0)",22000,18000,3030,3,0
Goalpara,1630,"(Balijana | 1157), (Lakhipur | 473), (Rongjuli | 0)",776,453,374,15,12
Dhubri,853,"(Bilasipara | 648), (Chapar | 21), (Athani | 184)",321,352,180,0,0
Chirang,128,"(Bengtal | 0), (Sidli | 0), (Bijni | 128)",47,49,29,3,0
Bongaigaon,1148,"(Manikpur | 0), (Bongaigaon | 153), (Dangtol | 995)",480,431,235,2,0
Barpeta,186,"(Barnagar | 0), (Kalgachia | 0), (Sarthebari | 0), (Barpeta | 186)",95,47,44,0,0
Baksa,2304,"(Barnagar RC part | 0), (Jalah | 102), (Baganpara | 614), (Barama | 754), (Baska | 834)",937,883,482,1,1
Bajali,1349,"(Sarupeta | 0), (Bajali | 1349)",619,589,124,17,0
