District,Total,Relief Camp,Relief Distribution Centres
Udalguri,2,2(Udalguri | 2),0(Udalguri | 0)
Kamrup,15,"15(North Ghy | 2, Kayan | 2, Hajo | 11)","0(North Ghy | 0, Kayan | 0, Hajo | 0)"
Morigaon,40,"12(Mikirbheta | 3, Morigaon | 3, Bhuragaon | 6)","28(Mikirbheta | 0, Morigaon | 13, Bhuragaon | 15)"
Nagaon,47,"47(Nagaon | 17, Kampur | 17, Raha | 13)","0(Nagaon | 0, Kampur | 0, Raha | 0)"
Nalbari,1,1(Paschim Nalbari | 1),0(Paschim Nalbari | 0)
Sivasagar,6,0(Demow | 0),6(Demow | 6)
Sonitpur,4,"0(Dhekiajuli | 0, Chariduar | 0, Tezpur | 0)","4(Dhekiajuli | 1, Chariduar | 2, Tezpur | 1)"
Tamulpur,5,2(Goreswar | 2),3(Goreswar | 3)
Biswanath,5,"1(Halem | 1, Gohpur | 0)","4(Halem | 2, Gohpur | 2)"
Cachar,201,"201(Silchar | 54, Sonai | 37, Lakhipur | 15, Katigorah | 95)","0(Silchar | 0, Sonai | 0, Lakhipur | 0, Katigorah | 0)"
Lakhimpur,16,"0(Subansiri | 0, Bihpuria | 0, Narayanpur | 0, Nowboicha | 0)","16(Subansiri | 5, Bihpuria | 6, Narayanpur | 4, Nowboicha | 1)"
Charaideo,1,0(Sonari | 0),1(Sonari | 1)
Nalbari,1,1(Paschim Nalbari | 1),0(Paschim Nalbari | 0)
Nagaon,42,"42(Nagaon | 12, Raha | 13, Kampur | 17)","0(Nagaon | 0, Raha | 0, Kampur | 0)"
Dima-Hasao,22,22(Haflong | 22),0(Haflong | 0)
Morigaon,32,"18(Bhuragaon | 7, Morigaon | 11, Mikirbheta | 0)","14(Bhuragaon | 0, Morigaon | 8, Mikirbheta | 6)"
Lakhimpur,5,"0(Narayanpur | 0, Nowboicha | 0)","5(Narayanpur | 3, Nowboicha | 2)"
Sivasagar,4,0(Demow | 0),4(Demow | 4)
Dibrugarh,16,"3(Dibrugarh East | 3, Dibrugarh West | 0, Moran | 0, Naharkatia | 0, Tengakhat | 0)","13(Dibrugarh East | 3, Dibrugarh West | 4, Moran | 3, Naharkatia | 2, Tengakhat | 1)"
Kamrup,8,"8(North Ghy | 1, Kayan | 2, Hajo | 5)","0(North Ghy | 0, Kayan | 0, Hajo | 0)"
Cachar,189,"189(Katigorah | 95, Lakhipur | 15, Sonai | 27, Silchar | 52)","0(Katigorah | 0, Lakhipur | 0, Sonai | 0, Silchar | 0)"
Chirang,3,3(Bijni | 3),0(Bijni | 0)
Karimganj,38,"34(Nilambazar | 6, RK Nagar | 5, Karimganj | 15, Badarpur | 8)","4(Nilambazar | 0, RK Nagar | 0, Karimganj | 4, Badarpur | 0)"
Hojai,3,2(Hojai | 2),1(Hojai | 1)
Tinsukia,2,"2(Tinsukia | 1, Doomdooma | 1)","0(Tinsukia | 0, Doomdooma | 0)"
Hailakandi,7,5(Algapur | 5),2(Algapur | 2)
Udalguri,3,"2(Udalguri | 2, Mazbat | 0)","1(Udalguri | 0, Mazbat | 1)"
Tamulpur,2,2(Goreswar | 2),0(Goreswar | 0)
Goalpara,3,0(Lakhipur | 0),3(Lakhipur | 3)
Biswanath,1,0(Halem | 0),1(Halem | 1)
Barpeta,26,"26(Barpeta | 23, Chenga | 3)","0(Barpeta | 0, Chenga | 0)"
Bajali,6,6(Sarupeta | 6),0(Sarupeta | 0)
Bajali,6,6(Sarupeta | 6),0(Sarupeta | 0)
Barpeta,16,16(Barpeta | 16),0(Barpeta | 0)
Biswanath,1,0(Halem | 0),1(Halem | 1)
Cachar,180,"180(Katigorah | 98, Silchar | 50, Sonai | 22, Lakhipur | 10)","0(Katigorah | 0, Silchar | 0, Sonai | 0, Lakhipur | 0)"
Chirang,3,3(Bijni | 3),0(Bijni | 0)
Darrang,13,0(Mangaldoi | 0),13(Mangaldoi | 13)
Dibrugarh,3,3(Dibrugarh East | 3),0(Dibrugarh East | 0)
Tamulpur,2,2(Goreswar | 2),0(Goreswar | 0)
Udalguri,2,2(Udalguri | 2),0(Udalguri | 0)
Hojai,5,3(Hojai | 3),2(Hojai | 2)
Kamrup,4,"4(Kayan | 2, North Ghy | 1, Hajo | 1)","0(Kayan | 0, North Ghy | 0, Hajo | 0)"
Karimganj,38,"33(Karimganj | 14, Nilambazar | 6, Badarpur | 8, RK Nagar | 5)","5(Karimganj | 5, Nilambazar | 0, Badarpur | 0, RK Nagar | 0)"
Lakhimpur,8,"0(Subansiri | 0, Bihpuria | 0, North Lakhimpur | 0)","8(Subansiri | 2, Bihpuria | 5, North Lakhimpur | 1)"
Morigaon,32,"13(Mikirbheta | 2, Bhuragaon | 7, Morigaon | 4)","19(Mikirbheta | 4, Bhuragaon | 0, Morigaon | 15)"
Nagaon,36,"36(Nagaon | 6, Kampur | 17, Raha | 13)","0(Nagaon | 0, Kampur | 0, Raha | 0)"
Sonitpur,3,0(Tezpur | 0),3(Tezpur | 3)
Dima-Hasao,22,22(Haflong | 22),0(Haflong | 0)
Hailakandi,2,2(Algapur | 2),0(Algapur | 0)
Dibrugarh,8,"2(Dibrugarh East | 2, Moran | 0, Chabua | 0, Dibrugarh West | 0)","6(Dibrugarh East | 0, Moran | 1, Chabua | 1, Dibrugarh West | 4)"
Barpeta,6,"5(Barpeta | 5, Baghbar | 0)","1(Barpeta | 0, Baghbar | 1)"
Bajali,6,6(Sarupeta | 6),0(Sarupeta | 0)
Tamulpur,2,2(Goreswar | 2),0(Goreswar | 0)
Sivasagar,1,0(Demow | 0),1(Demow | 1)
Morigaon,11,"9(Mikirbheta | 1, Morigaon | 4, Bhuragaon | 4)","2(Mikirbheta | 2, Morigaon | 0, Bhuragaon | 0)"
Lakhimpur,3,0(Subansiri | 0),3(Subansiri | 3)
Karimganj,38,"32(Nilambazar | 6, Karimganj | 14, RK Nagar | 4, Badarpur | 8, Patherkandi | 0)","6(Nilambazar | 0, Karimganj | 0, RK Nagar | 0, Badarpur | 0, Patherkandi | 6)"
Nagaon,96,"36(Nagaon | 6, Raha | 13, Kampur | 17)","60(Nagaon | 0, Raha | 60, Kampur | 0)"
Hailakandi,2,2(Algapur | 2),0(Algapur | 0)
Dima-Hasao,21,21(Haflong | 21),0(Haflong | 0)
Darrang,5,0(Sipajhar | 0),5(Sipajhar | 5)
Chirang,3,3(Bijni | 3),0(Bijni | 0)
Cachar,178,"178(Sonai | 21, Lakhipur | 10, Silchar | 49, Katigorah | 98)","0(Sonai | 0, Lakhipur | 0, Silchar | 0, Katigorah | 0)"
Kamrup,3,"3(Kayan | 2, North Ghy | 1)","0(Kayan | 0, North Ghy | 0)"
Kamrup,3,"3(Kayan | 2, North Ghy | 1)","0(Kayan | 0, North Ghy | 0)"
Tamulpur,2,2(Goreswar | 2),0(Goreswar | 0)
Nagaon,22,"22(Kampur | 5, Nagaon | 4, Raha | 13)","0(Kampur | 0, Nagaon | 0, Raha | 0)"
Morigaon,7,"7(Morigaon | 5, Bhuragaon | 2)","0(Morigaon | 0, Bhuragaon | 0)"
Lakhimpur,3,0(Subansiri | 0),3(Subansiri | 3)
Karimganj,36,"28(Nilambazar | 6, RK Nagar | 3, Karimganj | 13, Badarpur | 6)","8(Nilambazar | 8, RK Nagar | 0, Karimganj | 0, Badarpur | 0)"
Hailakandi,2,2(Algapur | 2),0(Algapur | 0)
Biswanath,2,0(Gohpur | 0),2(Gohpur | 2)
Dibrugarh,4,"2(Dibrugarh East | 2, Chabua | 0)","2(Dibrugarh East | 0, Chabua | 2)"
Dhemaji,4,0(Jonai | 0),4(Jonai | 4)
Darrang,1,0(Sipajhar | 0),1(Sipajhar | 1)
Chirang,1,1(Bijni | 1),0(Bijni | 0)
Cachar,173,"173(Silchar | 46, Katigorah | 98, Sonai | 19, Lakhipur | 10)","0(Silchar | 0, Katigorah | 0, Sonai | 0, Lakhipur | 0)"
Bajali,5,5(Sarupeta | 5),0(Sarupeta | 0)
Dima-Hasao,21,21(Haflong | 21),0(Haflong | 0)
Sivasagar,9,"0(Sivsagar | 0, Demow | 0)","9(Sivsagar | 1, Demow | 8)"
Bajali,5,5(Sarupeta | 5),0(Sarupeta | 0)
Nagaon,17,"17(Kampur | 4, Raha | 13)","0(Kampur | 0, Raha | 0)"
Dibrugarh,2,"1(Dibrugarh East | 1, Dibrugarh West | 0)","1(Dibrugarh East | 0, Dibrugarh West | 1)"
Sivasagar,7,"0(Sivsagar | 0, Demow | 0)","7(Sivsagar | 2, Demow | 5)"
Dima-Hasao,21,21(Haflong | 21),0(Haflong | 0)
Hailakandi,12,"2(Algapur | 2, Hailakandi | 0)","10(Algapur | 0, Hailakandi | 10)"
Chirang,1,1(Bijni | 1),0(Bijni | 0)
Kamrup,3,"3(Kayan | 2, North Ghy | 1)","0(Kayan | 0, North Ghy | 0)"
Cachar,124,"124(Lakhipur | 10, Silchar | 46, Sonai | 12, Katigorah | 56)","0(Lakhipur | 0, Silchar | 0, Sonai | 0, Katigorah | 0)"
Morigaon,24,4(Morigaon | 4),20(Morigaon | 20)
Tamulpur,3,2(Goreswar | 2),1(Goreswar | 1)
Karimganj,27,"27(RK Nagar | 3, Karimganj | 12, Nilambazar | 6, Badarpur | 6)","0(RK Nagar | 0, Karimganj | 0, Nilambazar | 0, Badarpur | 0)"
Dibrugarh,6,"0(Dibrugarh West | 0, Naharkatia | 0)","6(Dibrugarh West | 1, Naharkatia | 5)"
Cachar,107,"107(Sonai | 1, Silchar | 40, Lakhipur | 10, Katigorah | 56)","0(Sonai | 0, Silchar | 0, Lakhipur | 0, Katigorah | 0)"
Bajali,4,4(Sarupeta | 4),0(Sarupeta | 0)
Dima-Hasao,25,21(Haflong | 21),4(Haflong | 4)
Karimganj,22,"18(Nilambazar | 5, Karimganj | 9, Badarpur | 4, Patherkandi | 0)","4(Nilambazar | 0, Karimganj | 0, Badarpur | 0, Patherkandi | 4)"
Chirang,1,1(Bijni | 1),0(Bijni | 0)
Kamrup,3,"3(Kayan | 2, North Ghy | 1)","0(Kayan | 0, North Ghy | 0)"
Morigaon,4,4(Morigaon | 4),0(Morigaon | 0)
Nagaon,13,13(Raha | 13),0(Raha | 0)
Sivasagar,5,0(Demow | 0),5(Demow | 5)
Tamulpur,1,1(Goreswar | 1),0(Goreswar | 0)
Hailakandi,1,1(Algapur | 1),0(Algapur | 0)
Bajali,2,2(Sarupeta | 2),0(Sarupeta | 0)
Tamulpur,1,1(Goreswar | 1),0(Goreswar | 0)
Morigaon,4,4(Morigaon | 4),0(Morigaon | 0)
Cachar,83,"83(Silchar | 40, Lakhipur | 9, Katigorah | 34)","0(Silchar | 0, Lakhipur | 0, Katigorah | 0)"
Chirang,1,1(Bijni | 1),0(Bijni | 0)
Karimganj,27,"16(Nilambazar | 4, Karimganj | 8, Badarpur | 4)","11(Nilambazar | 0, Karimganj | 11, Badarpur | 0)"
Dima-Hasao,20,20(Haflong | 20),0(Haflong | 0)
Hailakandi,1,1(Algapur | 1),0(Algapur | 0)
Kamrup,2,2(Kayan | 2),0(Kayan | 0)
Dima-Hasao,20,20(Haflong | 20),0(Haflong | 0)
Chirang,1,1(Bijni | 1),0(Bijni | 0)
Tamulpur,3,1(Goreswar | 1),2(Goreswar | 2)
Kamrup,2,2(Kayan | 2),0(Kayan | 0)
Morigaon,9,9(Morigaon | 9),0(Morigaon | 0)
Nagaon,46,0(Raha | 0),46(Raha | 46)
Cachar,79,"79(Silchar | 40, Lakhipur | 9, Katigorah | 30)","0(Silchar | 0, Lakhipur | 0, Katigorah | 0)"
Bajali,2,2(Sarupeta | 2),0(Sarupeta | 0)
Morigaon,9,9(Morigaon | 9),0(Morigaon | 0)
Bajali,2,2(Sarupeta | 2),0(Sarupeta | 0)
Dima-Hasao,26,20(Haflong | 20),6(Haflong | 6)
Biswanath,1,0(Halem | 0),1(Halem | 1)
Cachar,60,"60(Silchar | 32, Katigorah | 27, Lakhipur | 1)","0(Silchar | 0, Katigorah | 0, Lakhipur | 0)"
Chirang,1,1(Bijni | 1),0(Bijni | 0)
Tamulpur,1,1(Goreswar | 1),0(Goreswar | 0)
Kamrup,2,2(Kayan | 2),0(Kayan | 0)
Morigaon,9,9(Morigaon | 9),0(Morigaon | 0)
Dima-Hasao,19,19(Haflong | 19),0(Haflong | 0)
Cachar,53,"53(Silchar | 32, Lakhipur | 1, Katigorah | 20)","0(Silchar | 0, Lakhipur | 0, Katigorah | 0)"
Tamulpur,1,1(Goreswar | 1),0(Goreswar | 0)
Chirang,1,1(Bijni | 1),0(Bijni | 0)
Dima-Hasao,17,17(Haflong | 17),0(Haflong | 0)
Cachar,31,"31(Silchar | 23, Katigorah | 8)","0(Silchar | 0, Katigorah | 0)"
Chirang,1,1(Bijni | 1),0(Bijni | 0)
Tamulpur,2,0(Goreswar | 0),2(Goreswar | 2)
Morigaon,10,10(Morigaon | 10),0(Morigaon | 0)
Morigaon,8,8(Morigaon | 8),0(Morigaon | 0)
Cachar,19,19(Silchar | 19),0(Silchar | 0)
Chirang,1,1(Bijni | 1),0(Bijni | 0)
Dima-Hasao,17,17(Haflong | 17),0(Haflong | 0)
Cachar,16,16(Silchar | 16),0(Silchar | 0)
Chirang,1,1(Bijni | 1),0(Bijni | 0)
Dima-Hasao,24,18(Haflong | 18),6(Haflong | 6)
Morigaon,8,8(Morigaon | 8),0(Morigaon | 0)
Cachar,12,12(Silchar | 12),0(Silchar | 0)
Dima-Hasao,8,8(Haflong | 8),0(Haflong | 0)
Morigaon,6,6(Morigaon | 6),0(Morigaon | 0)
Dima-Hasao,10,9(Haflong | 9),1(Haflong | 1)
Biswanath,3,0(Gohpur | 0),3(Gohpur | 3)
Cachar,8,8(Silchar | 8),0(Silchar | 0)
Morigaon,6,6(Morigaon | 6),0(Morigaon | 0)
Morigaon,6,6(Morigaon | 6),0(Morigaon | 0)
Dima-Hasao,8,7(Haflong | 7),1(Haflong | 1)
Cachar,4,4(Silchar | 4),0(Silchar | 0)
Cachar,3,3(Silchar | 3),0(Silchar | 0)
Dima-Hasao,8,7(Haflong | 7),1(Haflong | 1)
Morigaon,6,6(Morigaon | 6),0(Morigaon | 0)
Tinsukia,1,0(Sadiya | 0),1(Sadiya | 1)
Cachar,3,3(Silchar | 3),0(Silchar | 0)
Morigaon,6,6(Morigaon | 6),0(Morigaon | 0)
Tinsukia,2,"0(Sadiya | 0, Tinsukia | 0)","2(Sadiya | 1, Tinsukia | 1)"
Cachar,1,1(Silchar | 1),0(Silchar | 0)
Morigaon,6,6(Morigaon | 6),0(Morigaon | 0)
Cachar,1,1(Silchar | 1),0(Silchar | 0)
Dima-Hasao,5,0(Haflong | 0),5(Haflong | 5)
Morigaon,6,6(Morigaon | 6),0(Morigaon | 0)
Morigaon,6,6(Morigaon | 6),0(Morigaon | 0)
Morigaon,6,6(Morigaon | 6),0(Morigaon | 0)
Tamulpur,2,0(Goreswar | 0),2(Goreswar | 2)
Dima-Hasao,1,0(Haflong | 0),1(Haflong | 1)
Morigaon,5,5(Morigaon | 5),0(Morigaon | 0)
Morigaon,2,2(Morigaon | 2),0(Morigaon | 0)
Charaideo,19,"1(Sonari | 1, Sapekhati | 0)","18(Sonari | 9, Sapekhati | 9)"
Morigaon,2,2(Morigaon | 2),0(Morigaon | 0)
Charaideo,9,1(Sonari | 1),8(Sonari | 8)
Morigaon,2,2(Morigaon | 2),0(Morigaon | 0)
Morigaon,2,2(Morigaon | 2),0(Morigaon | 0)
Morigaon,2,2(Morigaon | 2),0(Morigaon | 0)
Dhemaji,5,2(Dhemaji | 2),3(Dhemaji | 3)
Dhemaji,14,"3(Dhemaji | 2, Gogamukh | 1)","11(Dhemaji | 0, Gogamukh | 11)"
Lakhimpur,8,2(Subansiri | 2),6(Subansiri | 6)
Chirang,4,"2(Bijni | 2, Sidli | 0)","2(Bijni | 0, Sidli | 2)"
Bajali,1,0(Sarupeta | 0),1(Sarupeta | 1)
Chirang,1,1(Bijni | 1),0(Bijni | 0)
Udalguri,6,"6(Khairabari | 3, Harisinga | 3)","0(Khairabari | 0, Harisinga | 0)"
Udalguri,5,"5(Harisinga | 2, Khairabari | 3)","0(Harisinga | 0, Khairabari | 0)"
Udalguri,2,2(Harisinga | 2),0(Harisinga | 0)
Udalguri,1,1(Harisinga | 1),0(Harisinga | 0)
Udalguri,1,1(Harisinga | 1),0(Harisinga | 0)
Udalguri,1,1(Harisinga | 1),0(Harisinga | 0)
Lakhimpur,7,"0(North Lakhimpur | 0, Nowboicha | 0)","7(North Lakhimpur | 2, Nowboicha | 5)"
Dibrugarh,1,0(Chabua | 0),1(Chabua | 1)
Dhemaji,14,"0(Dhemaji | 0, Jonai | 0, Sissiborgaon | 0, Gogamukh | 0)","14(Dhemaji | 3, Jonai | 2, Sissiborgaon | 3, Gogamukh | 6)"
Lakhimpur,9,"0(Subansiri | 0, Nowboicha | 0, North Lakhimpur | 0)","9(Subansiri | 4, Nowboicha | 3, North Lakhimpur | 2)"
Dibrugarh,1,0(Chabua | 0),1(Chabua | 1)
Lakhimpur,13,"0(North Lakhimpur | 0, Nowboicha | 0, Bihpuria | 0)","13(North Lakhimpur | 3, Nowboicha | 6, Bihpuria | 4)"
Tinsukia,1,0(Tinsukia | 0),1(Tinsukia | 1)
Chirang,2,2(Bijni | 2),0(Bijni | 0)
Dhemaji,6,"2(Dhemaji | 2, Gogamukh | 0)","4(Dhemaji | 2, Gogamukh | 2)"
Lakhimpur,7,1(Subansiri | 1),6(Subansiri | 6)
Udalguri,6,"6(Khairabari | 3, Harisinga | 3)","0(Khairabari | 0, Harisinga | 0)"
Chirang,1,1(Bijni | 1),0(Bijni | 0)
Dhemaji,9,"1(Dhemaji | 1, Gogamukh | 0)","8(Dhemaji | 3, Gogamukh | 5)"
Udalguri,6,"6(Khairabari | 3, Harisinga | 3)","0(Khairabari | 0, Harisinga | 0)"
Dhemaji,6,"0(Dhemaji | 0, Sissiborgaon | 0)","6(Dhemaji | 5, Sissiborgaon | 1)"
Golaghat,2,0(Golaghat | 0),2(Golaghat | 2)
Dhemaji,2,0(Jonai | 0) ,2(Jonai | 2)
Dhemaji,2,"0(Dhemaji | 0, Sissiborgaon | 0)","2(Dhemaji | 1, Sissiborgaon | 1)"
Dhemaji,2,0(Jonai | 0) ,2(Jonai | 2)
Bajali,66,"47(Sarupeta | 9, Bajali | 38)","19(Sarupeta | 1, Bajali | 18)"
Baksa,22,"6(Barama | 3, Baska | 3, Barnagar RC part | 0)","16(Barama | 1, Baska | 0, Barnagar RC part | 15)"
Barpeta,94,"82(Barpeta | 33, Baghbar | 4, Sarthebari | 13, 
Chenga | 32)","12(Barpeta | 0, Baghbar | 0, Sarthebari | 8, Chenga 
| 4)"
"Bongaigao
n",66,"32(Manikpur | 3, Boitamari | 3, Srijangram | 26)","34(Manikpur | 5, Boitamari | 2, Srijangram | 27)"
Cachar,107,"88(Katigorah | 17, Silchar | 57, Lakhipur | 6, 
Sonai | 7, Udharbond | 1)","19(Katigorah | 0, Silchar | 0, Lakhipur | 0, Sonai | 
19, Udharbond | 0)"
Chirang,12,"12(Bengtal | 1, Bijni | 11)","0(Bengtal | 0, Bijni | 0)"
Darrang,30,"19(Mangaldoi | 9, Dalgaon | 1, Sipajhar | 4, 
Patharighat | 5)","11(Mangaldoi | 0, Dalgaon | 0, Sipajhar | 0, 
Patharighat | 11)"
Dhemaji,10,"0(Sissiborgaon | 0, Dhemaji | 0, Jonai | 0, 
Gogamukh | 0)","10(Sissiborgaon | 2, Dhemaji | 1, Jonai | 3, 
Gogamukh | 4)"
Dhubri,43,"43(Chapar | 3, Athani | 4, Bilasipara | 35, 
Golakganj | 1)","0(Chapar | 0, Athani | 0, Bilasipara | 0, Golakganj | 
0)"
Dibrugarh,3,0(Chabua | 0),3(Chabua | 3)
"Dima-
Hasao",29,25(Haflong | 25),4(Haflong | 4)
Goalpara,100,"59(Balijana | 26, Lakhipur | 30, Matia | 3)","41(Balijana | 11, Lakhipur | 30, Matia | 0)"
Hailakandi,16,"8(Hailakandi | 5, Algapur | 3, Katlicherra | 0, 
Lala | 0)","8(Hailakandi | 5, Algapur | 0, Katlicherra | 1, Lala | 
2)"
Hojai,61,"47(Hojai | 33, Doboka | 14)","14(Hojai | 0, Doboka | 14)"
Kamrup,53,"26(Rangia | 9, Hajo | 3, North Ghy | 4, 
Kamalpur | 10, Kayan | 0)","27(Rangia | 1, Hajo | 0, North Ghy | 11, Kamalpur | 
10, Kayan | 5)"
"Kamrup 
(M)",6,2(Guwahati | 2),4(Guwahati | 4)
"Karbi 
Anglong 
West",6,0(Donkamokam | 0),6(Donkamokam | 6)
Karimganj,73,"30(Badarpur | 10, Patherkandi | 1, Karimganj | 
19, Nilambazar | 0, RK Nagar | 0)","43(Badarpur | 8, Patherkandi | 4, Karimganj | 0, 
Nilambazar | 6, RK Nagar | 25)"
Kokrajhar,40,"16(Gossaigaon | 2, Bagribari | 9, Kokrajhar | 3, 
Dotma | 2, Bhawraguri | 0)","24(Gossaigaon | 0, Bagribari | 4, Kokrajhar | 0, 
Dotma | 17, Bhawraguri | 3)"
Lakhimpur,12,"0(North Lakhimpur | 0, Dhakuakhana | 0, 
Bihpuria | 0, Nowboicha | 0)","12(North Lakhimpur | 3, Dhakuakhana | 1, 
Bihpuria | 2, Nowboicha | 6)"
Nagaon,33,"33(Kampur | 17, Raha | 5, Nagaon | 11)","0(Kampur | 0, Raha | 0, Nagaon | 0)"
Nalbari,120,"111(Ghograpar | 3, Tihu | 20, Banekuchi | 17, 
Paschim Nalbari | 21, Barbhag | 20, Nalbari | 
30)","9(Ghograpar | 5, Tihu | 0, Banekuchi | 0, Paschim 
Nalbari | 0, Barbhag | 0, Nalbari | 4)"
Sivasagar,7,0(Sivsagar | 0),7(Sivsagar | 7)
Sonitpur,26,"2(Dhekiajuli | 1, Chariduar | 1, Thelamara | 0, 
Tezpur | 0)","24(Dhekiajuli | 2, Chariduar | 0, Thelamara | 17, 
Tezpur | 5)"
Tamulpur,42,"22(Goreswar | 8, Tamulpur | 14)","20(Goreswar | 9, Tamulpur | 11)"
Tinsukia,10,"4(Doomdooma | 4, Tinsukia | 0)","6(Doomdooma | 4, Tinsukia | 2)"
Udalguri,60,"30(Udalguri | 10, Harisinga | 5, Kalaigaon | 6, 
Mazbat | 9, Khairabari | 0)","30(Udalguri | 22, Harisinga | 4, Kalaigaon | 0, 
Mazbat | 0, Khairabari | 4)"
Cachar,230,"230(Silchar | 63, Sonai | 50, Katigorah | 94, 
Lakhipur | 23)","0(Silchar | 0, Sonai | 0, Katigorah | 0, Lakhipur | 0)"
Chirang,3,3(Bijni | 3),0(Bijni | 0)
Darrang,23,"3(Mangaldoi | 2, Sipajhar | 1)","20(Mangaldoi | 15, Sipajhar | 5)"
Dhemaji,2,0(Sissiborgaon | 0),2(Sissiborgaon | 2)
Dibrugarh,1,0(Dibrugarh East | 0),1(Dibrugarh East | 1)
"Dima-
Hasao",25,25(Haflong | 25),0(Haflong | 0)
Goalpara,18,"18(Lakhipur | 12, Balijana | 6)","0(Lakhipur | 0, Balijana | 0)"
Hailakandi,9,"5(Algapur | 5, Hailakandi | 0)","4(Algapur | 0, Hailakandi | 4)"
Hojai,3,3(Hojai | 3),0(Hojai | 0)
Kamrup,34,"19(Kayan | 3, Kamalpur | 2, North Ghy | 11, 
Rangia | 3, Hajo | 0)","15(Kayan | 0, Kamalpur | 2, North Ghy | 0, Rangia 
| 1, Hajo | 12)"
"Karbi 
Anglong 
West",4,0(Donkamokam | 0),4(Donkamokam | 4)
Karimganj,80,"55(Badarpur | 16, Nilambazar | 7, Karimganj | 
29, Patherkandi | 3, RK Nagar | 0)","25(Badarpur | 0, Nilambazar | 0, Karimganj | 0, 
Patherkandi | 0, RK Nagar | 25)"
Lakhimpur,11,"0(North Lakhimpur | 0, Subansiri | 0, 
Nowboicha | 0)","11(North Lakhimpur | 1, Subansiri | 9, Nowboicha 
| 1)"
Morigaon,1,1(Morigaon | 1),0(Morigaon | 0)
Nagaon,66,"66(Raha | 13, Nagaon | 36, Kampur | 17)","0(Raha | 0, Nagaon | 0, Kampur | 0)"
Nalbari,9,"9(Paschim Nalbari | 6, Barbhag | 2, Tihu | 1)","0(Paschim Nalbari | 0, Barbhag | 0, Tihu | 0)"
Sonitpur,1,1(Dhekiajuli | 1),0(Dhekiajuli | 0)
"South 
Salmara",5,5(Mankachar | 5),0(Mankachar | 0)
Tamulpur,2,2(Goreswar | 2),0(Goreswar | 0)
Udalguri,3,"2(Udalguri | 2, Mazbat | 0)","1(Udalguri | 0, Mazbat | 1)"
Bajali,2,"0(Sarupeta | 0, Bajali | 0)","2(Sarupeta | 1, Bajali | 1)"
Baksa,1,0(Baska | 0),1(Baska | 1
Barpeta,147,"117(Barpeta | 60, Baghbar | 20, Chenga | 37, Barnagar | 0, Kalgachia | 0)","30(Barpeta | 0, Baghbar | 1, Chenga | 6, Barnagar | 11, Kalgachia | 12)"
Dima-Hasao,5,0(Haflong | 0),5(Haflong | 5)
Kamrup (M),2,"2(Guwahati | 1, Dispur | 1)","0(Guwahati | 0, Dispur | 0)"
Bajali,3,"2(Sarupeta | 2, Bajali | 0)","1(Sarupeta | 0, Bajali | 1)"
Baksa,4,0(Barnagar RC part | 0),4(Barnagar RC part | 4)
Barpeta,176,"153(Barpeta | 97, Baghbar | 19, Chenga | 37, 
Kalgachia | 0)","23(Barpeta | 0, Baghbar | 1, Chenga | 11, 
Kalgachia | 11)"
Cachar,224,"224(Lakhipur | 22, Katigorah | 94, Udharbond | 
1, Sonai | 44, Silchar | 63)","0(Lakhipur | 0, Katigorah | 0, Udharbond | 0, 
Sonai | 0, Silchar | 0)"
Chirang,3,3(Bijni | 3),0(Bijni | 0)
Darrang,42,"4(Sipajhar | 1, Mangaldoi | 3, Patharighat | 0)","38(Sipajhar | 11, Mangaldoi | 26, Patharighat | 1)"
Dhemaji,12,"0(Dhemaji | 0, Sissiborgaon | 0, Gogamukh | 0)","12(Dhemaji | 2, Sissiborgaon | 3, Gogamukh | 7)"
Dibrugarh,1,0(Dibrugarh East | 0),1(Dibrugarh East | 1)
"Dima-
Hasao",27,26(Haflong | 26),1(Haflong | 1)
Goalpara,25,"25(Lakhipur | 13, Balijana | 12)","0(Lakhipur | 0, Balijana | 0)"
"Hailakand
i",18,"5(Hailakandi | 5, Lala | 0, Algapur | 0)","13(Hailakandi | 10, Lala | 2, Algapur | 1)"
Hojai,13,"8(Doboka | 4, Hojai | 4)","5(Doboka | 0, Hojai | 5)"
Kamrup,60,"35(Rangia | 8, Kamalpur | 12, North Ghy | 13, 
Kayan | 2, Hajo | 0)","25(Rangia | 1, Kamalpur | 12, North Ghy | 0, 
Kayan | 0, Hajo | 12)"
"Karbi 
Anglong 
West",2,0(Donkamokam | 0),2(Donkamokam | 2)
Karimganj,63,"62(Nilambazar | 8, Karimganj | 29, Badarpur | 
20, Patherkandi | 5)","1(Nilambazar | 1, Karimganj | 0, Badarpur | 0, 
Patherkandi | 0)"
"Lakhimpu
r",4,"0(Subansiri | 0, Bihpuria | 0)","4(Subansiri | 3, Bihpuria | 1)"
Morigaon,10,"1(Morigaon | 1, Mikirbheta | 0)","9(Morigaon | 0, Mikirbheta | 9)"
Nagaon,183,"64(Kampur | 17, Nagaon | 35, Raha | 12)","119(Kampur | 47, Nagaon | 33, Raha | 39)"
Nalbari,14,"13(Paschim Nalbari | 6, Tihu | 1, Barbhag | 4, 
Nalbari | 2)","1(Paschim Nalbari | 0, Tihu | 0, Barbhag | 0, 
Nalbari | 1)"
Sonitpur,1,1(Dhekiajuli | 1),0(Dhekiajuli | 0)
"South 
Salmara",8,8(Mankachar | 8),0(Mankachar | 0)
