District,Total,Relief Camp,Relief Distribution Centres
Hailakandi,1,1(Algapur | 1),0(Algapur | 0)
Goalpara,2,"0(Balijana | 0, Lakhipur | 0)","2(Balijana | 1, Lakhipur | 1)"
Dima-Hasao,25,11(Haflong | 11),14(Haflong | 14)
Darrang,6,"0(Mangaldoi | 0, Dalgaon | 0)","6(Mangaldoi | 3, Dalgaon | 3)"
Cachar,407,"284(Katigorah | 100, Sonai | 23, Silchar | 161, Udharbond | 0, Lakhipur | 0)","123(Katigorah | 65, Sonai | 27, Silchar | 9, Udharbond | 6, Lakhipur | 16)"
Hojai,4,"4(Hojai | 2, Doboka | 2)","0(Hojai | 0, Doboka | 0)"
Karimganj,4,"1(Badarpur | 1, Karimganj | 0)","3(Badarpur | 0, Karimganj | 3)"
Nagaon,56,"41(Nagaon | 26, Kampur | 8, Raha | 7)","15(Nagaon | 15, Kampur | 0, Raha | 0)"
Karbi Anglong West,2,0(Donkamokam | 0),2(Donkamokam | 2)
Morigaon,20,3(Morigaon | 3),17(Morigaon | 17)
Hojai,2,2(Hojai | 2),0(Hojai | 0)
Hailakandi,1,1(Algapur | 1),0(Algapur | 0)
Dima-Hasao,7,3(Haflong | 3),4(Haflong | 4)
Cachar,329,"259(Sonai | 20, Silchar | 153, Katigorah | 86, Udharbond | 0, Lakhipur | 0)","70(Sonai | 27, Silchar | 14, Katigorah | 7, Udharbond | 6, Lakhipur | 16)"
Kamrup,1,0(Kamalpur | 0),1(Kamalpur | 1)
Nagaon,41,"39(Nagaon | 26, Kampur | 6, Raha | 7)","2(Nagaon | 2, Kampur | 0, Raha | 0)"
Morigaon,10,3(Morigaon | 3),7(Morigaon | 7)
Cachar,308,"251(Sonai | 12, Silchar | 153, Katigorah | 86, Udharbond | 0, Lakhipur | 0)","57(Sonai | 27, Silchar | 1, Katigorah | 7, Udharbond | 6, Lakhipur | 16)"
Hailakandi,1,1(Algapur | 1),0(Algapur | 0)
Karbi Anglong West,1,0(Donkamokam | 0),1(Donkamokam | 1)
Dima-Hasao,4,1(Haflong | 1),3(Haflong | 3)
Nagaon,140,"39(Nagaon | 26, Kampur | 6, Raha | 7)","101(Nagaon | 8, Kampur | 0, Raha | 93)"
Morigaon,5,3(Morigaon | 3),2(Morigaon | 2)
Dima-Hasao,2,1(Haflong | 1),1(Haflong | 1)
Cachar,159,"157(Sonai | 12, Silchar | 59, Katigorah | 86)","2(Sonai | 0, Silchar | 2, Katigorah | 0)"
Hailakandi,1,1(Algapur | 1),0(Algapur | 0)
Cachar,109,"109(Silchar | 49, Sonai | 2, Katigorah | 58)","0(Silchar | 0, Sonai | 0, Katigorah | 0)"
Dima-Hasao,4,0(Haflong | 0),4(Haflong | 4)
Morigaon,3,3(Morigaon | 3),0(Morigaon | 0)
Nagaon,31,"31(Nagaon | 19, Raha | 7, Kampur | 5)","0(Nagaon | 0, Raha | 0, Kampur | 0)"
Hojai,1,0(Hojai | 0),1(Hojai | 1)
Cachar,84,"84(Katigorah | 40, Silchar | 42, Sonai | 2)","0(Katigorah | 0, Silchar | 0, Sonai | 0)"
Dima-Hasao,2,0(Haflong | 0),2(Haflong | 2)
Morigaon,3,3(Morigaon | 3),0(Morigaon | 0)
Nagaon,17,"17(Nagaon | 6, Raha | 7, Kampur | 4)","0(Nagaon | 0, Raha | 0, Kampur | 0)"
Cachar,1,1(Silchar | 1),0(Silchar | 0)
Nagaon,3,"3(Nagaon | 1, Kampur | 2)","0(Nagaon | 0, Kampur | 0)"
Dima-Hasao,5,0(Haflong | 0),5(Haflong | 5)
Morigaon,3,3(Morigaon | 3),0(Morigaon | 0)
Cachar,1,1(Silchar | 1),0(Silchar | 0)
Dima-Hasao,3,0(Haflong | 0),3(Haflong | 3)
Morigaon,3,3(Morigaon | 3),0(Morigaon | 0)
Cachar,1,1(Silchar | 1),0(Silchar | 0)
Dima-Hasao,4,0(Haflong | 0),4(Haflong | 4)
Morigaon,3,3(Morigaon | 3),0(Morigaon | 0)
Nagaon,3,0(Kampur | 0),3(Kampur | 3)
Morigaon,3,3(Morigaon | 3),0(Morigaon | 0)
Cachar,1,1(Silchar | 1),0(Silchar | 0)
Morigaon,1,1(Morigaon | 1),0(Morigaon | 0)
Cachar,1,1(Silchar | 1),0(Silchar | 0)
Cachar,1,1(Silchar | 1),0(Silchar | 0)
Dima-Hasao,6,0(Haflong | 0),6(Haflong | 6)
Cachar,1,1(Silchar | 1),0(Silchar | 0)
Dima-Hasao,6,0(Haflong | 0),6(Haflong | 6)
Cachar,1,1(Silchar | 1),0(Silchar | 0)
Dhemaji,4,0(Gogamukh | 0),4(Gogamukh | 4)
Dima-Hasao,3,0(Haflong | 0),3(Haflong | 3)
Dhemaji,4,0(Gogamukh | 0),4(Gogamukh | 4)
Dima-Hasao,5,0(Haflong | 0),5(Haflong | 5)
Dima-Hasao,3,0(Haflong | 0),3(Haflong | 3)
Dhemaji,1,0(Sissiborgaon | 0),1(Sissiborgaon | 1)
Baksa,1,1(Barama | 1),0(Barama | 0)
Bajali,1,1(Bajali | 1),0(Bajali | 0)
Kamrup (M),8,"3(Guwahati | 1, Dispur | 2)","5(Guwahati | 0, Dispur | 5)"
Kokrajhar,2,2(Kokrajhar | 2),0(Kokrajhar | 0)
Hojai,18,18(Hojai | 18),0(Hojai | 0)
Goalpara,13,"10(Balijana | 7, Lakhipur | 3)","3(Balijana | 0, Lakhipur | 3)"
Dima-Hasao,29,22(Haflong | 22),7(Haflong | 7)
Chirang,9,"1(Bijni | 1, Sidli | 0)","8(Bijni | 0, Sidli | 8)"
Dhubri,11,"11(Chapar | 1, Bilasipara | 7, Athani | 3)","0(Chapar | 0, Bilasipara | 0, Athani | 0)"
Darrang,1,0(Patharighat | 0),1(Patharighat | 1)
Bongaigaon,6,"6(Manikpur | 1, Bongaigaon | 1, Dangtol | 4)","0(Manikpur | 0, Bongaigaon | 0, Dangtol | 0)"
Dibrugarh,1,0(Chabua | 0),1(Chabua | 1)
Kamrup,6,"6(Rangia | 3, Kayan | 3)","0(Rangia | 0, Kayan | 0)"
Tamulpur,15,3(Tamulpur | 3),12(Tamulpur | 12)
Kokrajhar,26,"26(Bhawraguri | 6, Gossaigaon | 9, Kokrajhar | 11)","0(Bhawraguri | 0, Gossaigaon | 0, Kokrajhar | 0)"
Nalbari,14,"14(Ghograpar | 2, Paschim Nalbari | 5, Nalbari | 7)","0(Ghograpar | 0, Paschim Nalbari | 0, Nalbari | 0)"
Udalguri,5,"4(Udalguri | 4, Kalaigaon | 0)","1(Udalguri | 0, Kalaigaon | 1)"
Barpeta,2,2(Barpeta | 2),0(Barpeta | 0)
Bajali,12,12(Bajali | 12),0(Bajali | 0)
Kamrup (M),17,"5(Guwahati | 2, Dispur | 3)","12(Guwahati | 2, Dispur | 10)"
Baksa,11,"10(Baganpara | 1, Barama | 2, Baska | 6, Jalah | 1)","1(Baganpara | 0, Barama | 1, Baska | 0, Jalah | 0)"
Tamulpur,24,"10(Tamulpur | 5, Goreswar | 5)","14(Tamulpur | 7, Goreswar | 7)"
Tinsukia,7,"4(Doomdooma | 4, Tinsukia | 0)","3(Doomdooma | 0, Tinsukia | 3)"
Udalguri,33,"14(Udalguri | 8, Mazbat | 2, Kalaigaon | 4, Khairabari | 0, Harisinga | 0)","19(Udalguri | 0, Mazbat | 0, Kalaigaon | 9, Khairabari | 3, Harisinga | 7)"
Dhemaji,4,"0(Jonai | 0, Dhemaji | 0)","4(Jonai | 2, Dhemaji | 2)"
Nalbari,54,"54(Banekuchi | 12, Paschim Nalbari | 10, Ghograpar | 2, Barbhag | 3, Nalbari | 11, Tihu | 16)","0(Banekuchi | 0, Paschim Nalbari | 0, Ghograpar | 0, Barbhag | 0, Nalbari | 0, Tihu | 0)"
Chirang,19,"1(Bijni | 1, Sidli | 0, Bengtal | 0)","18(Bijni | 7, Sidli | 10, Bengtal | 1)"
Bongaigaon,55,"18(Manikpur | 1, Bongaigaon | 1, Boitamari | 3, Dangtol | 8, Srijangram | 5)","37(Manikpur | 35, Bongaigaon | 2, Boitamari | 0, Dangtol | 0, Srijangram | 0)"
Barpeta,35,"35(Barpeta | 29, Sarthebari | 3, Chenga | 3)","0(Barpeta | 0, Sarthebari | 0, Chenga | 0)"
Baksa,13,"10(Baska | 6, Barama | 3, Jalah | 1, Baganpara | 0)","3(Baska | 0, Barama | 1, Jalah | 0, Baganpara | 2)"
Bajali,30,"29(Bajali | 29, Sarupeta | 0)","1(Bajali | 0, Sarupeta | 1)"
Dhubri,25,"25(Chapar | 3, Athani | 4, Bilasipara | 18)","0(Chapar | 0, Athani | 0, Bilasipara | 0)"
Dima-Hasao,20,20(Haflong | 20),0(Haflong | 0)
Goalpara,35,"23(Balijana | 10, Matia | 3, Lakhipur | 10)","12(Balijana | 2, Matia | 0, Lakhipur | 10)"
